,country
0,France
1,Croatia
2,USA
3,Canada
4,Kazakhstan
5,Denmark
6,Australia
7,Japan
8,Serbia
9,Syria
10,Spain
11,Czech Republic
12,Austria
13,Italy
14,Belgium
15,Brazil
16,Germany
17,Argentina
18,South Korea
19,Slovakia
20,Switzerland
21,Russia
22,Ukraine
23,Latvia
24,China
25,United Kingdom
26,Romania
27,Belarus
28,Poland
29,Slovenia
30,Portugal
31,Tunisia
32,Algeria
33,Bosnia & Herzegovina
34,Netherlands
35,Thailand
36,Hungary
37,Morocco
38,Turkey
39,Egypt
40,Malta
41,Hong Kong
42,Vietnam
43,New Zealand
44,Uzbekistan
45,Lebanon
46,Mexico
47,Georgia
48,Sweden
49,Norway
50,Finland
51,Colombia
52,El Salvador
53,Chinese Taipei
54,Philippines
55,Cyprus
56,Pakistan
57,Lithuania
58,Bulgaria
59,Ireland
60,Greece
61,India
62,Venezuela
63,Bolivia
64,Uruguay
65,Paraguay
66,Chile
67,Jamaica
68,New Caledonia
69,Israel
70,South Africa
71,Estonia
72,Nigeria
73,Guadeloupe
74,North Macedonia
75,Burundi
76,Dominican Republic
77,Senegal
78,Ecuador
79,Jordan
80,Peru
81,Moldova
82,Indonesia
83,Zimbabwe
84,Costa Rica
85,Luxembourg
86,Kyrgyzstan
87,Liechtenstein
88,Qatar
89,Malaysia
90,Haiti
91,Monaco
92,Ivory Coast
93,Singapore
94,Iran
96,Kosovo
97,Andorra
98,Antigua and Barbuda
99,Nepal
100,Barbados
101,Bahamas
623,Togo
630,United Arab Emirates
1191,England
4347,Bahrain
4599,Scotland
12272,Rwanda
25605,Sri Lanka
